,arr_time,dep_time,dur_hours,dur_minutes,parse_time,fl_class,fl_from,fl_to
153,2013-05-15 09:25,2013-05-15 05:30,5,55,2013-05-10 23:51,E,MOW,PAR
154,2013-05-15 10:45,2013-05-15 05:30,7,15,2013-05-10 23:51,E,MOW,PAR
155,2013-05-15 12:00,2013-05-15 05:30,8,30,2013-05-10 23:51,E,MOW,PAR
156,2013-05-29 02:05,2013-05-28 17:50,6,15,2013-05-10 23:51,E,MOW,PAR
157,2013-05-15 12:40,2013-05-15 10:35,4,5,2013-05-10 23:51,E,MOW,PAR
158,2013-05-28 15:00,2013-05-28 09:20,3,40,2013-05-10 23:51,E,MOW,PAR
159,2013-05-28 21:30,2013-05-28 15:30,4,0,2013-05-10 23:51,E,MOW,PAR
160,2013-05-15 22:15,2013-05-15 18:15,6,0,2013-05-10 23:51,E,MOW,PAR
161,2013-05-28 20:05,2013-05-28 11:00,7,5,2013-05-10 23:51,E,MOW,PAR
162,2013-05-15 22:15,2013-05-15 18:15,6,0,2013-05-10 23:51,E,MOW,PAR
163,2013-05-28 14:50,2013-05-28 07:00,5,50,2013-05-10 23:51,E,MOW,PAR
164,2013-05-15 22:15,2013-05-15 18:15,6,0,2013-05-10 23:51,E,MOW,PAR
165,2013-05-28 14:45,2013-05-28 06:10,6,35,2013-05-10 23:51,E,MOW,PAR
166,2013-05-15 19:15,2013-05-15 15:40,5,35,2013-05-10 23:51,E,MOW,PAR
167,2013-05-15 21:35,2013-05-15 15:40,7,55,2013-05-10 23:51,E,MOW,PAR
168,2013-05-29 01:25,2013-05-28 16:55,6,30,2013-05-10 23:51,E,MOW,PAR
169,2013-05-15 13:15,2013-05-15 09:20,5,55,2013-05-10 23:51,E,MOW,PAR
170,2013-05-15 14:45,2013-05-15 09:20,7,25,2013-05-10 23:51,E,MOW,PAR
171,2013-05-28 17:30,2013-05-28 09:20,6,10,2013-05-10 23:51,E,MOW,PAR
172,2013-05-15 13:15,2013-05-15 07:05,8,10,2013-05-10 23:51,E,MOW,PAR
173,2013-05-15 10:45,2013-05-15 07:05,5,40,2013-05-10 23:51,E,MOW,PAR
174,2013-05-15 17:05,2013-05-15 13:35,5,30,2013-05-10 23:51,E,MOW,PAR
175,2013-05-15 18:15,2013-05-15 13:35,6,40,2013-05-10 23:51,E,MOW,PAR
176,2013-05-15 19:20,2013-05-15 13:35,7,45,2013-05-10 23:51,E,MOW,PAR
177,2013-05-15 21:35,2013-05-15 17:35,6,0,2013-05-10 23:51,E,MOW,PAR
178,2013-05-15 22:45,2013-05-15 17:35,7,10,2013-05-10 23:51,E,MOW,PAR
179,2013-05-15 22:45,2013-05-15 18:30,6,15,2013-05-10 23:51,E,MOW,PAR
180,2013-05-28 17:30,2013-05-28 09:20,6,10,2013-05-10 23:51,E,MOW,PAR
181,2013-05-15 19:35,2013-05-15 15:45,5,50,2013-05-10 23:51,E,MOW,PAR
182,2013-05-15 22:05,2013-05-15 15:45,8,20,2013-05-10 23:51,E,MOW,PAR
183,2013-05-28 15:10,2013-05-28 07:15,5,55,2013-05-10 23:51,E,MOW,PAR
184,2013-05-28 16:35,2013-05-28 07:15,7,20,2013-05-10 23:51,E,MOW,PAR
185,2013-05-15 12:40,2013-05-15 10:35,4,5,2013-05-10 23:51,E,MOW,PAR
186,2013-05-28 15:00,2013-05-28 09:20,3,40,2013-05-10 23:51,E,MOW,PAR
187,2013-05-28 21:30,2013-05-28 15:30,4,0,2013-05-10 23:51,E,MOW,PAR
188,2013-05-15 09:20,2013-05-15 07:25,3,55,2013-05-10 23:51,E,MOW,PAR
189,2013-05-15 11:40,2013-05-15 09:45,3,55,2013-05-10 23:51,E,MOW,PAR
190,2013-05-15 14:35,2013-05-15 12:40,3,55,2013-05-10 23:51,E,MOW,PAR
191,2013-05-15 16:05,2013-05-15 14:10,3,55,2013-05-10 23:51,E,MOW,PAR
192,2013-05-15 17:00,2013-05-15 15:05,3,55,2013-05-10 23:51,E,MOW,PAR
193,2013-05-15 18:10,2013-05-15 16:15,3,55,2013-05-10 23:51,E,MOW,PAR
194,2013-05-28 15:15,2013-05-28 09:35,3,40,2013-05-10 23:51,E,MOW,PAR
195,2013-05-28 18:35,2013-05-28 12:45,3,50,2013-05-10 23:51,E,MOW,PAR
196,2013-05-28 21:25,2013-05-28 15:55,3,30,2013-05-10 23:51,E,MOW,PAR
197,2013-05-29 05:00,2013-05-28 23:25,3,35,2013-05-10 23:51,E,MOW,PAR
198,2013-05-15 11:05,2013-05-15 05:50,7,15,2013-05-10 23:51,E,MOW,PAR
199,2013-05-15 23:25,2013-05-15 17:45,7,40,2013-05-10 23:51,E,MOW,PAR
200,2013-05-28 21:00,2013-05-28 11:05,7,55,2013-05-10 23:51,E,MOW,PAR
201,2013-05-15 11:05,2013-05-15 05:50,7,15,2013-05-10 23:51,E,MOW,PAR
202,2013-05-15 23:25,2013-05-15 17:45,7,40,2013-05-10 23:51,E,MOW,PAR
203,2013-05-28 16:35,2013-05-28 07:00,7,35,2013-05-10 23:51,E,MOW,PAR
204,2013-05-28 21:00,2013-05-28 12:35,6,25,2013-05-10 23:51,E,MOW,PAR
205,2013-05-29 03:35,2013-05-28 18:35,7,0,2013-05-10 23:51,E,MOW,PAR
206,2013-05-15 20:30,2013-05-15 16:55,5,35,2013-05-10 23:51,E,MOW,PAR
207,2013-05-28 16:10,2013-05-28 08:45,5,25,2013-05-10 23:51,E,MOW,PAR
208,2013-05-15 13:10,2013-05-15 11:10,4,0,2013-05-10 23:51,E,MOW,PAR
209,2013-05-28 15:15,2013-05-28 09:35,3,40,2013-05-10 23:51,E,MOW,PAR
