,raw
904,Прилет
905,В пути
906,CDG09:3528&nbsp;Мая
907,SVO15:1528&nbsp;Мая
908,3 ч. 40 мин.
909,CDG12:4528&nbsp;Мая
910,SVO18:3528&nbsp;Мая
911,3 ч. 50 мин.
912,CDG15:5528&nbsp;Мая
913,SVO21:2528&nbsp;Мая
914,3 ч. 30 мин.
915,CDG23:2528&nbsp;Мая
916,SVO05:0029&nbsp;Мая
917,3 ч. 35 мин.
918,Вылет
919,Прилет
920,В пути
921,SVO05:5015&nbsp;Мая
922,CDG11:0515&nbsp;Мая
923,7 ч. 15 мин.
924,SVO17:4515&nbsp;Мая
925,CDG23:2515&nbsp;Мая
926,7 ч. 40 мин.
927,Вылет
928,Прилет
929,В пути
930,ORY11:0528&nbsp;Мая
931,SVO21:0028&nbsp;Мая
932,7 ч. 55 мин.
933,Вылет
934,Прилет
935,В пути
936,SVO05:5015&nbsp;Мая
937,CDG11:0515&nbsp;Мая
938,7 ч. 15 мин.
939,SVO17:4515&nbsp;Мая
940,CDG23:2515&nbsp;Мая
941,7 ч. 40 мин.
942,Вылет
943,Прилет
944,В пути
945,CDG07:0028&nbsp;Мая
946,SVO16:3528&nbsp;Мая
947,7 ч. 35 мин.
948,CDG12:3528&nbsp;Мая
949,SVO21:0028&nbsp;Мая
950,6 ч. 25 мин.
951,CDG18:3528&nbsp;Мая
952,SVO03:3529&nbsp;Мая
953,7 ч. 0 мин.
954,Вылет
955,Прилет
956,В пути
957,DME16:5515&nbsp;Мая
958,ORY20:3015&nbsp;Мая
959,5 ч. 35 мин.
960,Вылет
961,Прилет
962,В пути
963,ORY08:4528&nbsp;Мая
964,DME16:1028&nbsp;Мая
965,5 ч. 25 мин.
966,Вылет
967,Прилет
968,В пути
969,SVO11:1015&nbsp;Мая
970,CDG13:1015&nbsp;Мая
971,4 ч. 0 мин.
972,Вылет
973,Прилет
974,В пути
975,CDG09:3528&nbsp;Мая
976,SVO15:1528&nbsp;Мая
977,3 ч. 40 мин.
978,CDG12:4528&nbsp;Мая
979,SVO18:3528&nbsp;Мая
980,3 ч. 50 мин.
981,CDG15:5528&nbsp;Мая
982,SVO21:2528&nbsp;Мая
983,3 ч. 30 мин.
984,CDG23:2528&nbsp;Мая
985,SVO05:0029&nbsp;Мая
986,3 ч. 35 мин.
987,Вылет
988,Прилет
989,В пути
990,SVO07:2515&nbsp;Мая
991,CDG09:2015&nbsp;Мая
992,3 ч. 55 мин.
993,SVO09:4515&nbsp;Мая
994,CDG11:4015&nbsp;Мая
995,3 ч. 55 мин.
996,SVO12:4015&nbsp;Мая
997,CDG14:3515&nbsp;Мая
998,3 ч. 55 мин.
999,SVO14:1015&nbsp;Мая
1000,CDG16:0515&nbsp;Мая
1001,3 ч. 55 мин.
1002,SVO15:0515&nbsp;Мая
1003,CDG17:0015&nbsp;Мая
1004,3 ч. 55 мин.
1005,SVO16:1515&nbsp;Мая
1006,CDG18:1015&nbsp;Мая
1007,3 ч. 55 мин.
1008,Вылет
1009,Прилет
1010,В пути
1011,CDG11:4528&nbsp;Мая
1012,SVO17:2028&nbsp;Мая
1013,3 ч. 35 мин.
1014,CDG14:0028&nbsp;Мая
1015,SVO19:3028&nbsp;Мая
1016,3 ч. 30 мин.
1017,CDG18:1028&nbsp;Мая
1018,SVO23:4528&nbsp;Мая
1019,3 ч. 35 мин.
1020,Вылет
1021,Прилет
1022,В пути
1023,SVO11:1015&nbsp;Мая
