"","price.index","arr_time.x","dep_time.x","dur_hours.x","dur_minutes.x","parse_time.x","fl_class.x","fl_from.x","fl_to.x","arr_time.y","dep_time.y","dur_hours.y","dur_minutes.y","parse_time.y","fl_class.y","fl_from.y","fl_to.y","changes1","changes2","ncomp","options1","options2","price","stops1","stops2","opt.sum","Aeroflot","Aigle Azur","Air Berlin","Air France","Alitalia","British Airways","Czech Airlines","Finnair","KLM","LOT Polish Airlines","Lufthansa","Niki Luftfahrt","Rossiya","SAS","Swiss","Transaero","Tyrolean","Ukraine Intl"
"64",23,"2013-05-15 10:10","2013-05-15 06:35",5,35,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:25","2013-05-28 18:30",5,55,"2013-05-10 23:51","E","MOW","PAR",4,2,2,4,2,16156,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"65",23,"2013-05-15 11:40","2013-05-15 06:35",7,5,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 14:35","2013-05-28 07:00",5,35,"2013-05-10 23:51","E","MOW","PAR",4,2,2,4,2,16156,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"66",23,"2013-05-15 11:40","2013-05-15 06:35",7,5,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:25","2013-05-28 18:30",5,55,"2013-05-10 23:51","E","MOW","PAR",4,2,2,4,2,16156,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"67",23,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 14:35","2013-05-28 07:00",5,35,"2013-05-10 23:51","E","MOW","PAR",4,2,2,4,2,16156,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"68",23,"2013-05-15 13:15","2013-05-15 06:35",8,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:25","2013-05-28 18:30",5,55,"2013-05-10 23:51","E","MOW","PAR",4,2,2,4,2,16156,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"69",23,"2013-05-15 21:40","2013-05-15 18:00",5,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 14:35","2013-05-28 07:00",5,35,"2013-05-10 23:51","E","MOW","PAR",4,2,2,4,2,16156,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"70",23,"2013-05-15 21:40","2013-05-15 18:00",5,40,"2013-05-10 23:51","E","MOW","PAR","2013-05-29 02:25","2013-05-28 18:30",5,55,"2013-05-10 23:51","E","MOW","PAR",4,2,2,4,2,16156,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"71",24,"2013-05-15 19:35","2013-05-15 15:45",5,50,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 17:30","2013-05-28 09:20",6,10,"2013-05-10 23:51","E","MOW","PAR",2,1,2,2,1,16289,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"72",24,"2013-05-15 22:05","2013-05-15 15:45",8,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 17:30","2013-05-28 09:20",6,10,"2013-05-10 23:51","E","MOW","PAR",2,1,2,2,1,16289,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"73",25,"2013-05-15 21:55","2013-05-15 18:35",5,20,"2013-05-10 23:51","E","MOW","PAR","2013-05-28 14:50","2013-05-28 07:00",5,50,"2013-05-10 23:51","E","MOW","PAR",1,1,2,1,1,16513,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
